page_url,image_url,author,title,annotation
https://www.biblio-globus.ru//product/10979497,https://static1.bgshop.ru/imagehandler.ashx?filename=10979497.jpg&width=400, Пушкин А.С.,Евгений Онегин,"Классика и одно из самых значительных произведений русской литературы — роман в стихах А.С. Пушкина «Евгений Онегин» (1823–1831). История, покорившая мир, сопровождающая многие поколения читателей и пережившая бесчисленное количество интерпретаций и экранизаций, одной из которых стал
фильм Сарика Андреасяна «Онегин». Роман охватывает события с 1819 по 1825 год: от заграничных походов русской армии после разгрома Наполеона до восстания декабристов, и через все повествование тянется красная нить истории великой любви.ХарактеристикиМесто издания:МоскваСерия:Онегин (КИНО)Высота, см.:20,7Ширина, см:13,2Толщина, см:1,6Вес в граммах:252Возрастная категория:6+"
https://www.biblio-globus.ru//product/10915083,https://static1.bgshop.ru/imagehandler.ashx?filename=10915083.jpg&width=400, Булгаков М.А.,Мастер и Маргарита (с иллюстрациями балета Сергея Полунина),"Михаил Булгаков – главный русский мистик ХХ века. Медик по образованию и тонкий сатирик по призванию, он сам видел и мастерски описал слом эпох, Революцию, гражданскую войну, едкую травлю критиков и настоящую любовь.  

В час жаркого весеннего заката в Москву явился сам Дьявол со свитой. И с людьми начали происходить совершенно неожиданные вещи – кто-то потерял голову на мостовой, кто-то внезапно проснулся на ялтинской набережной, а кто-то, наконец, получил возможность спасти своего возлюбленного. Пусть для этого и потребовалось стать настоящей ведьмой…

Феерическая сатира на быт и нравы Москвы 30-х годов, одновременно пронзительная история любви Мастера и Маргариты и вечная библейская тема борьбы добра со злом, роман о Понтии Пилате внутри романа — таковы далеко не все пласты этого гениального произведения Михаила Булгакова.ХарактеристикиМесто издания:МоскваСерия:КинообложкаВысота, см.:20,8Ширина, см:13,4Толщина, см:2,65Вес в граммах:485Возрастная категория:16+"
https://www.biblio-globus.ru//product/10984901,https://static1.bgshop.ru/imagehandler.ashx?filename=10984901.jpg&width=400, Уайльд О.,Портрет Дориана Грея,"«Портрет Дориана Грея» - роман о красоте и уродстве человека и его поступков, написанный принцем эстетизма Оскаром Уайльдом.
Изысканные иллюстрации Екатерины Волжиной как нельзя лучше подчеркивают утонченный стиль автора и эпохи декадентства.ХарактеристикиМесто издания:МоскваСерия:Коллекция ""Метаморфозы""Высота, см.:25Ширина, см:17Толщина, см:2Вес в граммах:826Возрастная категория:12+"
https://www.biblio-globus.ru//product/10997505,https://static1.bgshop.ru/imagehandler.ashx?filename=10997505.jpg&width=400," Лермонтов М.Ю., худож. Филенко С.В.",Выхожу один я на дорогу. Стихотворения 1828–1841 годов.,"В книге соединились поэзия Михаила Юрьевича Лермонтова и искусство влюбленного в его творчество художника Сергея Владимировича Филенко. Иллюстрации к некоторым стихотворениям созданы впервые. В издании представлены более 130 стихотворений и около 40 изображений.
Для широкого круга читателей.ХарактеристикиМесто издания:М.Высота, см.:17,3Ширина, см:12,1Толщина, см:2,5Вес в граммах:366"
https://www.biblio-globus.ru//product/10934270,https://static1.bgshop.ru/imagehandler.ashx?filename=10934270.jpg&width=400, Толстой А.Н.,"Петр I. В 3 т., Т.2..","Первые петровские реформы подготовили величие России, но возвести ее в число великих держав Европы могли только военные победы. Скрестить шпаги со Швецией — одним из передовых государств того времени — русский царь решился, лишь заручившись поддержкой союзников: Дании и Саксонии, правитель которой был одновременно и польским королем. Однако очень скоро стало понятно, что единственными верными союзниками России, как и во все прочие времена, являются ее армия и флот...
Читатели второго тома смогут пройти непростой путь вместе с Петром I, его друзьями, сподвижниками и русскими солдатами по полям сражений первого периода Великой Северной вой ны через поражение под Нарвой в 1700 году ко взятию Нарвы в 1704 году.
Текст романа сопровождают тематические иллюстрации великого художника И.Я. Билибина.
Проект «Собиратели Земли Русской» реализуется Российским военно- истори ческим обществом при поддержке партии «Единая Россия».ХарактеристикиМесто издания:М.Высота, см.:21,7Ширина, см:14,6Толщина, см:2,5Вес в граммах:495"
https://www.biblio-globus.ru//product/10918488,https://static1.bgshop.ru/imagehandler.ashx?filename=10918488.jpg&width=400, Каллахан П.,Однажды в платяном шкафу,"Маргарет семнадцать и она учится на факультете математики и физики. Ее брату Джорджу восемь, он обожает книгу К. С. Льюиса «Лев, колдунья и платяной шкаф» и больше всего на свете хочет узнать: откуда взялась эта волшебная страна, где царит вечная зима, но не наступает Рождество, где животные разговаривают, а шкаф открывает проход в другой мир? Джорджу повезло, ведь автор книги преподает в университете, где учится Маргарет. И теперь ей придется преодолеть свой страх, чтобы встретиться с известным писателем. А тот, вместо прямого ответа расскажет ей много историй из своей жизни, позволив
самой сделать выводы.ХарактеристикиМесто издания:МоскваСерия:Своя линияВысота, см.:21Ширина, см:14Толщина, см:2,8Вес в граммах:310Возрастная категория:16+"
https://www.biblio-globus.ru//product/10744155,https://static1.bgshop.ru/imagehandler.ashx?filename=10744155.jpg&width=400, Булгаков М.А.,Мастер и Маргарита,"«Мастер и Маргарита» — бессмертное произведение Михаила Булгакова, главный роман его жизни, так до конца и не понятый, загадочный и манящий. Опубликованный в середине 1960-х годов, роман поразил читателей необычностью замысла, красочностью и фантастичностью действия, объединяющего героев разных эпох и культур. Нечистая сила во главе с самим Дьяволом Воландом однажды весенним днем появляется в Москве, чтобы навести порядок. Именно так начинается полная приключений и иронии история, в которой в конце концов побеждают любовь и верность...
Уникальные работы фотографов и иллюстраторов отражают в издании атмосферу «булгаковской» Москвы и демонстрируют материалы Музея М. А. Булгакова, а также редкие кадры из личной и творческой жизни автора.ХарактеристикиМесто издания:МоскваСерия:Элитная классика. Изысканный переплет с тесьмойВысота, см.:28,5Ширина, см:20,7Толщина, см:4Вес в граммах:1343Возрастная категория:16+"
https://www.biblio-globus.ru//product/11011697,https://static1.bgshop.ru/imagehandler.ashx?filename=11011697.jpg&width=400, ,Рождественские новеллы зарубежных писателей,"В этой книге собраны рождественские новеллы зарубежных писателей, и некоторые имена и переводы могут стать открытием для читателей. Все произведения вполне вписываются в канву святочного рассказа по определению Николая Лескова: «...чтобы он был приурочен к событиям святочного вечера — от Рождества до Крещенья, чтобы он был сколько-нибудь фантастичен, имел какую-нибудь мораль, хоть вроде опровержения вредного предрассудка, и, наконец, чтобы он оканчивался непременно весело».

Допущено к распространению Издательским советом Русской Православной Церкви ИС Р24-415-0335ХарактеристикиЯзык оригинала:rusДополнительные сведения:Под ред. Стрыгина Татьяна ВикторовнаМесто издания:МоскваВысота, см.:18,6Ширина, см:12,5Толщина, см:1,7Вес в граммах:290Возрастная категория:12+"
https://www.biblio-globus.ru//product/10987140,https://static1.bgshop.ru/imagehandler.ashx?filename=10987140.jpg&width=400, Булгаков М.А.,Мастер и Маргарита,"«Мастер и Маргарита» — бессмертное, загадочное и остроумное произведение Михаила Булгакова — главный роман его жизни. «Что я мог написать после «Мастера…»?» — признается себе автор незадолго до своей смерти. Опубликованный в середине 1960-х годов, «Мастер…» поразил читателей необычностью замысла, красочностью и фантастичностью действия, объединяющего героев разных эпох и культур. В нем воедино сплетены и религиозно-историческая мистерия, восходящая к легенде о распятом Христе, и сверхъестественные сцены с персонажами, воплощающими некую темную силу, — сплетены и окутаны московской «буффонадой» 1920—1930-х годов. Произведение иллюстрировано фотографиями тех мест Москвы, где происходит действие романа «Мастера и Маргариты».ХарактеристикиДополнительные сведения:Под ред. С. Чертопруд; Худож. О. ЗайцеваМесто издания:МоскваСерия:Черный кодВысота, см.:20Ширина, см:13Толщина, см:2Вес в граммах:540Возрастная категория:12+"
https://www.biblio-globus.ru//product/10984458,https://static1.bgshop.ru/imagehandler.ashx?filename=10984458.jpg&width=400, Уайльд О.,Кентервильское привидение,"Древний призрак намерен выжить новых обитателей замка Кентервиль, которые мешают ему коротать вечность в тишине и покое. Но с первой же встречи все идет не по плану, а появление гремящего цепями призрака не вызывает у семейства ни малейшего испуга. С этого момента развитие событий принимает непредсказуемый оборот… Трогательная готическая история Оскара Уайльда почти 140 лет любима читателями разных возрастов.
Новое издание с атмосферными иллюстрациями, хранящими дух английской классики.ХарактеристикиМесто издания:МоскваСерия:MetamorphosesВысота, см.:29Ширина, см:22Толщина, см:1Вес в граммах:566Возрастная категория:16+"
https://www.biblio-globus.ru//product/10979864,https://static1.bgshop.ru/imagehandler.ashx?filename=10979864.jpg&width=400, Мопассан Ги де,Три истории с привидениями,"«Три истории с привидениями» — это три фантастических новеллы Ги де Мопассана, выбранные и проиллюстрированные Камий Гарош, настоящим мастером работы с бумагой. «Видение» рассказывает странную историю, которая произошла с маркизом де ла Тур-Самюэлем, когда ему было за двадцать, и которая с тех пор преследует его... «Тик» — это история отца, страдающего необычным тиком и скрывающего таинственные причины, побуждающие его дочь носить перчатку на левой руке... Наконец, «Мертвая» погружает нас в воспоминания рассказчика, оказавшегося ночью на могиле своей возлюбленной…ХарактеристикиМесто издания:МоскваСерия:MetamorphosesВысота, см.:29Ширина, см:22Толщина, см:1Вес в граммах:751Возрастная категория:16+"
https://www.biblio-globus.ru//product/10979848,https://static1.bgshop.ru/imagehandler.ashx?filename=10979848.jpg&width=400, Булгаков М.А.,Мастер и Маргарита,"""Мастер и Маргарита"" - одно из лучших произведений Михаила Афанасьевича Булгакова, в котором автор причудливо смешал фантастическое и реальное. Книга рассчитана на любителей русской литературы.ХарактеристикиДополнительные сведения:Под ред. А.И. КапустюкМесто издания:МоскваСерия:Классики и современникиВысота, см.:21Ширина, см:14Толщина, см:3Вес в граммах:515"
https://www.biblio-globus.ru//product/10934271,https://static1.bgshop.ru/imagehandler.ashx?filename=10934271.jpg&width=400," Науч. труды Костомарова Н.И., Соловьева С.М., Ключевского В.О., Покровского М.Н.","Петр I. В 3 т., Т.3. Историки и современники о Петре Великом и его эпохе.","Современники начали осознавать величие Петра I еще при его жизни и задолго до того, как ему было официально присвоено прозвание «Великий».
Классики исторической мысли по-разному оценивали первого российского императора, но никто из них не сомневался в масштабе его личности и судьбоносных последствиях его деяний.
Французский аристократ герцог де Сен- Симон, датский посланник Юст Юль, бретонский дворянин Франсуа Гиймо де Вильбуа (он же русский вице-адмирал Никита Петрович Вильбоа) — всем им довелось лично знать Петра I, причем если первый из этого списка с русским царем даже толком не общался, но в мемуарах не скупился
на восторги, то последнему доверили стать шафером на свадьбе Петра и Екатерины, но впоследствии он не постеснялся придать своему рассказу о смерти императора тон гнусного пасквиля.
Русские историки Н.И. Костомаров, С.М. Соловьев, В.О. Ключевский, М.Н. Покровский изучали Пет ровскую эпоху по большей части по одним и тем же документам, но парадоксальным образом приходили порой к диаметрально противоположным выводам.
Читатели третьего тома получат уникальный шанс ознакомиться со всем спектром мнений и составить свое собственное.
Проект «Собиратели Земли Русской» реализуется Российским военно- историческим обществом при поддержке партии «Единая Россия».ХарактеристикиМесто издания:М.Высота, см.:21,7Ширина, см:14,6Толщина, см:4,1Вес в граммах:723"
